,Unnamed: 0,quoteID,quotation,speaker,qids,date,numOccurrences,probas,urls,phase
20,89521,2020-02-10-097230,"We met the same way all gay people in New Hampshire meet: online,",Jim Morgan,"['Q15302401', 'Q16104722', 'Q20737984', 'Q28124262']",2020-02-10 23:50:19,1,"[['Jim Morgan', '0.7274'], ['None', '0.2726']]",['http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/_vw3pxUeerk/38fjTeo'],E
21,89739,2020-02-27-096995,"Yet, alas, the Trump administration has been working zealously to turn the government into an instrument of hostility towards LGBTQ rights across the executive branch.",Jamie Raskin,['Q640835'],2020-02-27 21:47:19,1,"[['Jamie Raskin', '0.6674'], ['None', '0.315'], ['Jody Hice', '0.0176']]",['https://www.washingtonblade.com/2020/02/27/congressional-hearing-spotlights-use-of-religious-liberty-against-lgbtq-people/'],E
22,102516,2020-03-05-087709,"were in Congress today, I would support LGBTQ rights in every way I could.",Aaron Schock,"['Q24705735', 'Q302659']",2020-03-05 17:31:10,1,"[['Aaron Schock', '0.8965'], ['None', '0.1035']]",['https://www.metroweekly.com/2020/03/aaron-schock-comes-out-as-gay-fails-to-apologize-for-anti-gay-political-record/'],E
23,112793,2020-04-05-034143,"What you find is, while there is a lot of people coming out and doing drag, there's only a few that kinda stick to it. Because it is a commitment and you have to have grit, you have to have perseverance because times get tough. You have to be smart with how you build... because you're building a brand and you're building a business. So, Hannah is my business.",Chris Collins,"['Q1077119', 'Q21284804', 'Q26935189', 'Q27831017', 'Q4228021', 'Q50671707', 'Q5106218', 'Q5106219', 'Q5106220', 'Q5106221', 'Q5106222', 'Q5106223', 'Q749772', 'Q861156']",2020-04-05 00:00:25,1,"[['Chris Collins', '0.8178'], ['None', '0.1822']]",['https://www.starobserver.com.au/artsentertainment/hannah-conda-sheds-her-skin/194143#comments'],E
24,116886,2020-01-14-057376,"Oh, we can't support something if the perception is it is anti-gay.",Sylvia Allen,['Q7660878'],2020-01-14 00:00:00,22,"[['Sylvia Allen', '0.6496'], ['None', '0.3483'], ['Frank the Tank', '0.0021']]","['http://kaaltv.com/national/arizona-bill-banning-sex-ed-before-7th-grade-going-nowhere/5609310/?cat=10159', 'http://whec.com/national/arizona-bill-banning-sex-ed-before-7th-grade-going-nowhere/5609305/?cat=10036', 'http://wnyt.com/health/arizona-bill-banning-sex-ed-before-7th-grade-going-nowhere/5609315/?cat=10104', 'http://www.kob.com/us-news/arizona-bill-banning-sex-ed-before-7th-grade-going-nowhere/5609299/?cat=600', 'http://www.kob.com/us-news/arizona-bill-banning-sex-ed-before-7th-grade-going-nowhere/5609299/?cat=605', 'https://mynorthwest.com/1670260/arizona-bill-banning-sex-ed-before-7th-grade-going-nowhere/', 'https://thecourier.com/national-news-latest/2020/01/14/arizona-bill-banning-sex-ed-before-7th-grade-going-nowhere/', 'https://wtop.com/lifestyle/2020/01/arizona-bill-banning-sex-ed-before-7th-grade-going-nowhere/', 'http://www.bcdemocrat.com/2020/01/14/us-sex-education-arizona/', 'http://www.therepublic.com/2020/01/14/us-sex-education-arizona/', 'http://www.startribune.com/arizona-bill-banning-sex-ed-before-7th-grade-going-nowhere/566987412/', 'https://kvoa.com/news/local-news/2020/01/14/controversial-bill-that-aimed-to-ban-sex-ed-before-7th-grade-killed/', 'http://www.whig.com/article/20200114/AP/301149721', 'http://ctpost.com/news/medical/article/Arizona-Senate-delays-hearing-on-sex-ed-ban-14972925.php', 'http://middletownpress.com/news/medical/article/Arizona-Senate-delays-hearing-on-sex-ed-ban-14972925.php', 'http://mysanantonio.com/news/medical/article/Arizona-Senate-delays-hearing-on-sex-ed-ban-14972925.php', 'http://newstimes.com/news/medical/article/Arizona-Senate-delays-hearing-on-sex-ed-ban-14972925.php', 'http://registercitizen.com/news/medical/article/Arizona-Senate-delays-hearing-on-sex-ed-ban-14972925.php', 'http://www.expressnews.com/news/medical/article/Arizona-Senate-delays-hearing-on-sex-ed-ban-14972925.php', 'http://www.nhregister.com/news/medical/article/Arizona-Senate-delays-hearing-on-sex-ed-ban-14972925.php', 'http://www.thehour.com/news/medical/article/Arizona-Senate-delays-hearing-on-sex-ed-ban-14972925.php', 'https://kvia.com/news/us-world/2020/01/14/arizona-bill-banning-sex-ed-before-7th-grade-going-nowhere/']",E
25,119547,2020-03-21-025809,"People from every demographic, every race, ethnicity, gender or background have been infected. Suggesting otherwise or engaging in racist speech or acts is one of the most profoundly un-American things that I can think of,",J.B. Pritzker,['Q6103950'],2020-03-21 00:00:00,1,"[['J.B. Pritzker', '0.8484'], ['None', '0.1463'], ['PHILIP MURPHY', '0.0053']]",['https://www.foxnews.com/politics/illinois-gov-pritzker-slams-profoundly-unamerican-racist-speech-about-coronavirus'],E
26,125426,2020-03-12-081352,"We don't know who is coming in and coming out and we want to err on the side of caution,",Steven Fulop,['Q7614724'],2020-03-12 19:14:23,1,"[['Steven Fulop', '0.5585'], ['None', '0.4415']]",['https://www.nj.com/hudson/2020/03/jersey-city-mayor-imposes-coronavirus-curfew-on-bars-restaurants-to-avoid-drawing-crowds.html'],E
27,132197,2020-03-12-038751,"It will not discriminate on national origin, race, gender or zip code.",Joe Biden,['Q6279'],2020-03-12 11:21:27,7,"[['Joe Biden', '0.6406'], ['None', '0.3037'], ['President Donald Trump', '0.0372'], ['Bernie Sanders', '0.0186']]","['http://www.spokesman.com/stories/2020/mar/12/biden-sanders-press-contrast-with-trump-in-virus-s/', 'http://greenwichtime.com/news/article/Biden-to-press-contrast-with-Trump-amid-15126218.php?src=gthpcorona', 'https://kvia.com/your-voice-your-vote/politics/2020/03/12/biden-to-press-contrast-with-trump-amid-cornoavirus-concerns/', 'http://www.whittierdailynews.com/2020/03/12/biden-sanders-press-contrast-with-trump-in-virus-speeches/', 'https://www.pasadenastarnews.com/2020/03/12/biden-sanders-press-contrast-with-trump-in-virus-speeches/', 'https://www.pe.com/2020/03/12/biden-sanders-press-contrast-with-trump-in-virus-speeches/', 'https://www.sbsun.com/2020/03/12/biden-sanders-press-contrast-with-trump-in-virus-speeches/']",E
28,134018,2020-01-24-018204,"Everything I tried to tell the press last March is now coming out, and more,",Rudy Giuliani,['Q212648'],2020-01-24 00:00:00,5,"[['Rudy Giuliani', '0.398'], ['None', '0.3838'], ['President Donald Trump', '0.182'], ['Joe Biden', '0.0202'], ['Adam Schiff', '0.0074'], ['Hunter Biden', '0.0054'], ['President Barack Obama', '0.0032']]","['http://www.neonnettle.com/news/10088-rudy-giuliani-vows-to-release-evidence-bidens-were-selling-obama-admin-to-ukraine', 'https://www.westernjournal.com/rudy-giuliani-threatens-go-public-evidence-biden-corruption-ukraine/', 'http://www.neonnettle.com/news/10111-rudy-giuliani-if-we-can-t-prosecute-joe-biden-we-don-t-have-justice-in-america-', 'http://www.neonnettle.com/news/10272-biden-nobody-is-accusing-hunter-of-misconduct-except-the-thug-rudy-giuliani-', 'http://www.neonnettle.com/news/10325-rudy-giuliani-the-democrats-are-literally-trying-to-kill-me-']",E
29,138231,2020-01-13-073767,"These are dangerous medical procedures with, in many cases, largely psycho-social benefits that cannot be considered in the context of an infant, who has yet to develop their sex or gender identity,",Scott Wiener,['Q7437504'],2020-01-13 00:00:00,16,"[['Scott Wiener', '0.7736'], ['None', '0.2264']]","['http://www.kob.com/us-news/california-weighs-unique-intersex-surgery-ban-for-some-kids/5607448/?cat=600', 'https://mynorthwest.com/1669057/california-weighs-unique-intersex-surgery-ban-for-some-kids/', 'https://www.mymotherlode.com/news/national/975661/california-weighs-unique-intersex-surgery-ban-for-some-kids.html', 'https://sacramento.cbslocal.com/2020/01/13/california-intersex-surgery-ban-law-considered/', 'http://www.durangoherald.com/articles/310128-california-weighs-unique-intersex-surgery-ban-for-some-kids', 'http://lasvegassun.com/news/2020/jan/13/california-weighs-unique-intersex-surgery-ban-for/', 'https://www.washingtontimes.com/news/2020/jan/13/california-weighs-unique-intersex-surgery-ban-for-/?utm_source=RSS_Feed&utm_medium=RSS', 'https://thecourier.com/national-news-latest/2020/01/13/california-weighs-unique-intersex-surgery-ban-for-some-kids/', 'https://www.wsoctv.com/news/health/california-weighs/P3RHVOUY5UTVKWTCSOEEZDGMLE/', 'http://infotel.ca/newsitem/us-california-intersex-surgeries/cp2066989240', 'https://www.570news.com/2020/01/13/california-weighs-unique-intersex-surgery-ban-for-some-kids/', 'http://www.startribune.com/california-weighs-unique-intersex-surgery-ban-for-some-kids/566946652/', 'http://ksl.com/article/46703846/california-weighs-unique-intersex-surgery-ban-for-some-kids', 'https://www.oregonlive.com/health/2020/01/california-may-ban-most-surgery-on-babies-toddlers-with-ambiguous-or-conflicting-genitalia.html', 'http://www.whig.com/article/20200113/AP/301139848', 'https://thebusinessjournal.com/california-weighs-unique-intersex-surgery-ban-for-some-kids/']",E
